=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.17 18:05:46 =~=~=~=~=~=~=~=~=~=~=~=
0,.00
8909, 1500, 1026.40
8966, 1500, 1026.40
9022, 1500, 1026.30
9078, 1500, 1026.60
9135, 1500, 1026.20
9191, 1500, 1026.10
9247, 1500, 1026.30
9304, 1500, 1026.20
9360, 1500, 1026.40
9416, 1500, 1026.30
9473, 1500, 1026.30
9530, 1500, 1026.30
9586, 1500, 1026.40
9643, 1500, 1026.10
9699, 1500, 1026.00
9755, 1500, 1026.20
9812, 1500, 1025.80
9868, 1500, 1026.30
9924, 1500, 1026.10
9981, 1500, 1026.30
10037, 1500, 1026.10
10093, 1500, 1026.00
10152, 1500, 1026.30
10209, 1500, 1026.20
10266, 1500, 1025.90
10324, 1500, 1025.90
10381, 1500, 1026.00
10438, 1500, 1026.10
10496, 1500, 1026.10
10554, 1500, 1026.10
10611, 1500, 1026.00
10669, 1500, 1026.10
10726, 1500, 1025.90
10783, 1500, 1025.90
10841, 1500, 1025.90
10898, 1500, 1025.80
10956, 1500, 1026.00
11014, 1500, 1026.00
11071, 1500, 1026.00
11128, 1500, 1025.90
11186, 1500, 1025.70
11243, 1500, 1025.90
11300, 1500, 1025.90
11359, 1500, 1025.90
11416, 1500, 1025.80
11474, 1500, 1025.90
11531, 1500, 1025.50
11588, 1500, 1025.60
11646, 1500, 1025.80
11703, 1500, 1025.50
11761, 1500, 1025.80
11819, 1500, 1025.60
11876, 1500, 1025.90
11933, 1500, 1025.60
11991, 1500, 1025.90
12048, 1500, 1025.70
12105, 1500, 1025.60
12164, 1500, 1025.70
12221, 1500, 1025.90
12278, 1500, 1025.60
12336, 1500, 1025.60
12393, 1500, 1025.80
12450, 1500, 1025.60
12508, 1500, 1025.70
12566, 1500, 1025.50
12623, 1500, 1025.50
12681, 1500, 1025.50
12738, 1500, 1025.30
12795, 1500, 1025.50
12853, 1500, 1025.90
12910, 1500, 1025.40
12969, 1500, 1025.50
13026, 1500, 1025.60
13083, 1500, 1025.40
13141, 1500, 1025.50
13198, 1500, 1025.40
13255, 1500, 1025.50
13313, 1500, 1025.70
13371, 1500, 1025.60
13428, 1500, 1025.50
13486, 1500, 1025.40
13543, 1500, 1025.20
13600, 1500, 1025.40
13658, 1500, 1025.40
13715, 1500, 1025.60
13773, 1500, 1025.50
13831, 1500, 1025.30
13888, 1500, 1025.50
