0, 0, 1023.10
24, 2976, 1022.90
74, 2926, 1023.00
129, 2871, 1023.20
183, 2817, 1023.10
238, 2762, 1022.90
294, 2706, 1023.00
349, 2651, 1023.10
404, 2596, 1023.00
459, 2541, 1023.10
515, 2485, 1023.10
570, 2430, 1023.00
625, 2375, 1022.90
681, 2319, 1023.00
736, 2264, 1023.60
791, 2209, 1024.10
846, 2154, 1024.90
902, 2098, 1025.90
957, 2043, 1027.30
1012, 2000, 1029.10
1068, 2000, 1030.40
1124, 2000, 1031.20
1180, 2000, 1031.90
1238, 2000, 1031.70
1294, 2000, 1031.70
1350, 2000, 1031.00
1407, 2000, 1030.30
1463, 2000, 1030.10
1519, 2000, 1029.40
1576, 2000, 1029.10
1632, 2000, 1028.60
1688, 2000, 1028.30
1745, 2000, 1028.20
1801, 2000, 1027.90
1858, 2000, 1027.60
1915, 2000, 1027.30
1971, 2000, 1026.90
2027, 2000, 1027.10
2083, 2000, 1026.90
2140, 2000, 1026.80
2196, 2000, 1026.80
2252, 2000, 1026.40
2309, 2000, 1026.50
2365, 2000, 1026.30
2421, 2000, 1026.30
2479, 2000, 1026.30
2535, 2000, 1026.40
2591, 2000, 1026.30
2648, 2000, 1026.40
2704, 2000, 1026.30
2760, 2000, 1026.40
2817, 2000, 1026.30
2873, 2000, 1026.40
2929, 2000, 1026.40
2986, 2000, 1026.20
3042, 2000, 1026.10
3098, 2000, 1026.60
3156, 2000, 1026.40
3212, 2000, 1026.50
3268, 2000, 1026.30
3325, 2000, 1026.50
3381, 2000, 1026.20
3437, 2000, 1026.30
3494, 2000, 1026.20
3550, 2000, 1026.70
3606, 2000, 1026.40
3662, 2000, 1026.40
3719, 2000, 1026.30
3776, 2000, 1026.30
3832, 2000, 1026.20
3889, 2000, 1026.20
3945, 2000, 1026.40
4001, 2000, 1026.20
4058, 2000, 1026.20
4114, 2000, 1026.20
4170, 2000, 1026.10
4227, 2000, 1026.00
4283, 2000, 1025.80
4339, 2000, 1026.00
4397, 2000, 1025.80
4453, 2000, 1025.90
4509, 2000, 1025.80
4566, 2000, 1025.90
4622, 2000, 1025.60
4678, 2000, 1026.00
4735, 2000, 1025.50
4791, 2000, 1025.80
4847, 2000, 1025.60
4904, 2000, 1025.70
4960, 2000, 1025.50
5016, 2000, 1025.50
5074, 2000, 1025.70
5130, 2000, 1025.70
5186, 2000, 1025.50
5243, 2000, 1025.80
5299, 2000, 1025.70
5355, 2000, 1025.60
5411, 2000, 1025.70
5468, 2000, 1025.50
5524, 2000, 1025.70
5580, 2000, 1025.40
5637, 2000, 1025.70
5694, 2000, 1025.30
5750, 2000, 1025.60
5807, 2000, 1025.40
5863, 2000, 1025.60
5919, 2000, 1025.50
5976, 2000, 1025.70
6032, 2000, 1025.30
6088, 2000, 1025.50
6145, 2000, 1025.50
6201, 2000, 1025.20
6257, 2000, 1025.30
6315, 2000, 1025.60
6371, 2000, 1025.60
6427, 2000, 1025.40
6484, 2000, 1025.50
6540, 2000, 1025.30
6596, 2000, 1025.20
6653, 2000, 1025.40
6709, 2000, 1025.30
6765, 2000, 1025.40
6822, 2000, 1025.20
6878, 2000, 1025.40
6935, 2000, 1025.30
6992, 2000, 1025.30
7048, 2000, 1025.30
7104, 2000, 1025.20
7160, 2000, 1025.10
7217, 2000, 1025.10
7273, 2000, 1025.40
7329, 2000, 1025.20
7386, 2000, 1025.30
7442, 2000, 1025.20
7498, 2000, 1025.20
7555, 2000, 1025.10
7612, 2000, 1025.10
7668, 2000, 1025.20
7725, 2000, 1025.30
7781, 2000, 1025.00
7837, 2000, 1025.10
7894, 2000, 1025.10
7950, 2000, 1025.10
8006, 2000, 1025.10
8063, 2000, 1025.10
