=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.17 17:57:53 =~=~=~=~=~=~=~=~=~=~=~=
0 1023.90
8854, 1500, 1027.10
8911, 1500, 1027.10
8967, 1500, 1027.00
9024, 1500, 1027.20
9080, 1500, 1027.00
9136, 1500, 1027.20
9192, 1500, 1027.00
9249, 1500, 1026.90
9305, 1500, 1027.00
9361, 1500, 1027.00
9418, 1500, 1027.00
9474, 1500, 1026.90
9530, 1500, 1027.00
9588, 1500, 1026.90
9644, 1500, 1026.70
9700, 1500, 1027.10
9757, 1500, 1027.10
9813, 1500, 1026.90
9869, 1500, 1026.70
9926, 1500, 1026.50
9982, 1500, 1026.60
10038, 1500, 1026.80
10095, 1500, 1026.60
0, 0, 1026.60
0, 0, 1026.60
0, 0, 1026.60
0, 0, 1026.40
0, 0, 1026.60
0, 0, 1026.60
0, 0, 1026.40
0, 0, 1026.60
0, 0, 1026.50
0, 0, 1026.70
0, 0, 1026.30
0, 0, 1026.30
0, 0, 1026.50
0, 0, 1026.50
0, 0, 1026.40
0, 0, 1026.40
0, 0, 1026.30
0, 0, 1026.40
0, 0, 1026.20
0, 0, 1026.40
0, 0, 1026.30
0, 0, 1026.30
0, 0, 1026.40
0, 0, 1026.30
0, 0, 1026.40
0, 0, 1026.40
0, 0, 1026.30
0, 0, 1026.20
0, 0, 1026.50
0, 0, 1026.20
0, 0, 1026.10
0, 0, 1026.20
0, 0, 1026.10
0, 0, 1026.20
0, 0, 1026.20
0, 0, 1026.20
0, 0, 1026.20
0, 0, 1026.10
0, 0, 1026.30
0, 0, 1026.10
0, 0, 1026.00
0, 0, 1026.00
0, 0, 1026.10
0, 0, 1026.10
0, 0, 1026.00
0, 0, 1025.90
0, 0, 1026.20
0, 0, 1025.90
0, 0, 1026.00
0, 0, 1025.90
0, 0, 1026.00
0, 0, 1026.00
0, 0, 1025.90
0, 0, 1025.80
0, 0, 1025.80
0, 0, 1026.20
0, 0, 1025.90
0, 0, 1025.70
0, 0, 1025.80
0, 0, 1025.70
0, 0, 1026.00
0, 0, 1025.70
0, 0, 1025.70
0, 0, 1025.70
0, 0, 1025.90
0, 0, 1025.80
0, 0, 1025.90
0, 0, 1025.90
0, 0, 1025.60
0, 0, 1025.70
0, 0, 1025.60
0, 0, 1025.60
0, 0, 1025.70
0, 0, 1025.70
0, 0, 1025.60
0, 0, 1025.70
0, 0, 1026.00
0, 0, 1025.80
0, 0, 1025.60
0, 0, 1025.60
0, 0, 1025.70
0, 0, 1025.50
0, 0, 1025.60
0, 0, 1025.50
0, 0, 1025.60
0, 0, 1025.70
0, 0, 1025.60
0, 0, 1025.40
0, 0, 1025.50
0, 0, 1025.50
0, 0, 1025.60
0, 0, 1025.80
0, 0, 1025.50
0, 0, 1025.30
0, 0, 1025.30
0, 0, 1025.40
0, 0, 1025.40
0, 0, 1025.60
0, 0, 1025.50
0, 0, 1025.40
0, 0, 1025.50
0, 0, 1025.40
0, 0, 1025.40
0, 0, 1025.40
0, 0, 1025.50
0, 0, 1025.40
0, 0, 1025.30
0, 0, 1025.50
0, 0, 1025.40
0, 0, 1025.20
0, 0, 1025.40
0, 0, 1025.20
0, 0, 1025.30
0, 0, 1025.20
0, 0, 1025.20
0, 0, 1025.20
0, 0, 1025.30
0, 0, 1025.20
0, 0, 1025.40
0, 0, 1025.30
0, 0, 1025.20
0, 0, 1025.30
0, 0, 1025.30
0, 0, 1025.20
0, 0, 1025.20
0, 0, 1025.10
0, 0, 1025.30
0, 0, 1025.20
0, 0, 1025.10
0, 0, 1025.20
0, 0, 1025.00
